Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2021,Spider-Man: No Way Home,5083.954,8940,Popular,Action
2021,Spider-Man: No Way Home,5083.954,8940,Popular,Adventure
2021,Spider-Man: No Way Home,5083.954,8940,Popular,Science Fiction
2022,The Batman,3827.658,1151,Popular,Crime
2022,The Batman,3827.658,1151,Popular,Mystery
2022,The Batman,3827.658,1151,Popular,Thriller
2022,No Exit,2618.087,122,below_avg,Thriller
2021,Encanto,2402.201,5076,Popular,Animation
2021,Encanto,2402.201,5076,Popular,Comedy
2021,Encanto,2402.201,5076,Popular,Family
2021,Encanto,2402.201,5076,Popular,Fantasy
2021,The King's Man,1895.511,1793,Average,Action
2021,The King's Man,1895.511,1793,Average,Adventure
2021,The King's Man,1895.511,1793,Average,Thriller
2021,The King's Man,1895.511,1793,Average,War
2022,The Commando,1750.484,33,Average,Action
2022,The Commando,1750.484,33,Average,Crime
2022,The Commando,1750.484,33,Average,Thriller
2022,Scream,1675.161,821,Average,Horror
2022,Scream,1675.161,821,Average,Mystery
2022,Scream,1675.161,821,Average,Thriller
2022,Kimi,1601.782,206,below_avg,Thriller
2022,Fistful of Vengeance,1594.013,114,not_popular,Action
2022,Fistful of Vengeance,1594.013,114,not_popular,Crime
2022,Fistful of Vengeance,1594.013,114,not_popular,Fantasy
2021,Eternals,1537.406,4726,Popular,Science Fiction
2022,Pursuit,1500.523,16,not_popular,Action
2022,Pursuit,1500.523,16,not_popular,Crime
2022,Pursuit,1500.523,16,not_popular,Thriller
2021,My Hero Academia: World Heroes' Mission,1485.064,100,Popular,Animation
2021,My Hero Academia: World Heroes' Mission,1485.064,100,Popular,Action
2021,My Hero Academia: World Heroes' Mission,1485.064,100,Popular,Fantasy
2021,My Hero Academia: World Heroes' Mission,1485.064,100,Popular,Adventure
2022,Restless,1468.377,107,not_popular,Action
2022,Restless,1468.377,107,not_popular,Thriller
2022,Restless,1468.377,107,not_popular,Crime
2021,Nightmare Alley,1455.144,952,Average,Crime
2021,Nightmare Alley,1455.144,952,Average,Drama
2021,Nightmare Alley,1455.144,952,Average,Thriller
2022,The Ice Age Adventures of Buck Wild,1431.307,737,Average,Animation
2022,The Ice Age Adventures of Buck Wild,1431.307,737,Average,Comedy
2022,The Ice Age Adventures of Buck Wild,1431.307,737,Average,Adventure
2022,The Ice Age Adventures of Buck Wild,1431.307,737,Average,Family
2022,Hotel Transylvania: Transformania,1373.778,288,Average,Animation
2022,Hotel Transylvania: Transformania,1373.778,288,Average,Family
2022,Hotel Transylvania: Transformania,1373.778,288,Average,Fantasy
2022,Hotel Transylvania: Transformania,1373.778,288,Average,Comedy
2022,Hotel Transylvania: Transformania,1373.778,288,Average,Adventure
2022,Texas Chainsaw Massacre,1312.79,521,not_popular,Horror
2022,The Requin,1252.317,65,not_popular,Thriller
2022,Looop Lapeta,1240.946,31,below_avg,Action
2022,Looop Lapeta,1240.946,31,below_avg,Comedy
2022,Looop Lapeta,1240.946,31,below_avg,Crime
2021,Red Notice,1178.544,3193,Average,Action
2021,Red Notice,1178.544,3193,Average,Comedy
2021,Red Notice,1178.544,3193,Average,Crime
2021,Red Notice,1178.544,3193,Average,Thriller
2021,Sing 2,1112.9,2172,Popular,Animation
2021,Sing 2,1112.9,2172,Popular,Comedy
2021,Sing 2,1112.9,2172,Popular,Family
2021,Sing 2,1112.9,2172,Popular,Music
2022,The Jack in the Box: Awakening,1096.79,43,not_popular,Horror
2021,Venom: Let There Be Carnage,1053.615,6539,Average,Science Fiction
2021,Venom: Let There Be Carnage,1053.615,6539,Average,Action
2021,Venom: Let There Be Carnage,1053.615,6539,Average,Adventure
2021,The Matrix Resurrections,941.024,3160,Average,Science Fiction
2021,The Matrix Resurrections,941.024,3160,Average,Action
2021,The Matrix Resurrections,941.024,3160,Average,Adventure
2021,Resident Evil: Welcome to Raccoon City,881.086,1312,below_avg,Horror
2021,Resident Evil: Welcome to Raccoon City,881.086,1312,below_avg,Action
2021,Resident Evil: Welcome to Raccoon City,881.086,1312,below_avg,Science Fiction
2021,Last Man Down,869.605,318,below_avg,Action
2021,Last Man Down,869.605,318,below_avg,Thriller
2022,American Siege,867.326,49,not_popular,Action
2022,American Siege,867.326,49,not_popular,Thriller
2022,American Siege,867.326,49,not_popular,Crime
2022,American Siege,867.326,49,not_popular,Drama
2022,Uncharted,866.391,691,Average,Action
2022,Uncharted,866.391,691,Average,Adventure
2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,Popular,Animation
2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,Popular,Action
2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,Popular,Adventure
2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.992,2224,Popular,Fantasy
2021,Ghostbusters: Afterlife,839.904,2225,Popular,Fantasy
2021,Ghostbusters: Afterlife,839.904,2225,Popular,Comedy
2021,Ghostbusters: Afterlife,839.904,2225,Popular,Adventure
2022,The 355,781.748,313,below_avg,Action
2022,The 355,781.748,313,below_avg,Thriller
2021,Shang-Chi and the Legend of the Ten Rings,769.185,5845,Popular,Action
2021,Shang-Chi and the Legend of the Ten Rings,769.185,5845,Popular,Adventure
2021,Shang-Chi and the Legend of the Ten Rings,769.185,5845,Popular,Fantasy
2022,Marry Me,761.793,230,Average,Romance
2022,Marry Me,761.793,230,Average,Comedy
2022,Marry Me,761.793,230,Average,Music
2022,The Hunting,761.127,10,not_popular,Horror
2021,West Side Story,678.186,562,Popular,Drama
2021,West Side Story,678.186,562,Popular,Romance
2021,West Side Story,678.186,562,Popular,Crime
2022,Through My Window,659.105,1331,Popular,Romance
2022,Through My Window,659.105,1331,Popular,Drama
2021,The Seven Deadly Sins: Cursed by Light,647.54,312,Popular,Animation
2021,The Seven Deadly Sins: Cursed by Light,647.54,312,Popular,Fantasy
2021,One Shot,622.24,382,Average,Action
2022,Tom and Jerry: Cowboy Up!,614.11,163,Average,Animation
2022,Tom and Jerry: Cowboy Up!,614.11,163,Average,Comedy
2022,Tom and Jerry: Cowboy Up!,614.11,163,Average,Family
2022,Tom and Jerry: Cowboy Up!,614.11,163,Average,Western
